real,predict
0.2129942774772644,0.22416847944259644
0.20037482678890228,0.21593156456947327
0.19174927473068237,0.18216100335121155
0.1803213208913803,0.16638711094856262
0.17244040966033936,0.15642935037612915
0.16691246628761292,0.15930944681167603
0.1657794862985611,0.15921978652477264
0.16802214086055756,0.15919671952724457
0.17842145264148712,0.1608443260192871
0.19836905598640442,0.17652565240859985
0.21980687975883484,0.19023463129997253
0.24305996298789978,0.21926522254943848
0.2633625864982605,0.2573508024215698
0.2757247984409332,0.27697229385375977
0.2912631332874298,0.28767064213752747
0.3000233471393585,0.29379019141197205
0.2991979718208313,0.31138691306114197
0.30356237292289734,0.3085671067237854
0.3023684620857239,0.31353020668029785
0.2992110252380371,0.30500614643096924
0.2914279103279114,0.2934839725494385
0.28778544068336487,0.2887973189353943
0.28114020824432373,0.28242459893226624
0.2720741331577301,0.2768762707710266
0.2700786590576172,0.26883262395858765
0.2642359137535095,0.26255327463150024
0.2610892653465271,0.25861573219299316
0.26099851727485657,0.25249597430229187
0.25877922773361206,0.25788962841033936
0.2598594129085541,0.25641515851020813
0.261120080947876,0.25573551654815674
0.26104438304901123,0.2590644359588623
0.2611023187637329,0.2614583969116211
0.2598702311515808,0.2681352496147156
0.2587994337081909,0.2645179331302643
0.250861793756485,0.25546252727508545
0.2477276623249054,0.2505640983581543
0.24305906891822815,0.24334533512592316
0.23424841463565826,0.23273484408855438
0.22523033618927002,0.22679448127746582
0.2161625325679779,0.22139286994934082
0.2105547934770584,0.20890562236309052
0.20405830442905426,0.20371770858764648
0.20051856338977814,0.19837093353271484
0.1973692774772644,0.19641421735286713
0.19955626130104065,0.1881026327610016
0.20280008018016815,0.19086161255836487
0.21299436688423157,0.19947877526283264
0.23421432077884674,0.2128923386335373
0.25995343923568726,0.23867784440517426
0.2945745587348938,0.2558002769947052
0.3327179253101349,0.2608465850353241
0.3796199560165405,0.2889383137226105
0.4287690818309784,0.34486499428749084
0.48578107357025146,0.40791770815849304
0.5439096093177795,0.5180418491363525
0.5962246656417847,0.556738555431366
0.6476028561592102,0.6350961327552795
0.700057327747345,0.7312386631965637
0.7446308135986328,0.7719923257827759
0.7859587669372559,0.8300644159317017
0.8161783218383789,0.839876651763916
0.8531235456466675,0.8570099472999573
0.8743311166763306,0.898476779460907
0.8942627906799316,0.8971261978149414
0.898658812046051,0.9232349395751953
0.9044464826583862,0.9122670292854309
0.8985524773597717,0.9157960414886475
